fold,level,hierarchy,class,precision,recall,f1,support
P6,image,guide,folA_3,0.16417910447761194,0.5238095238095238,0.25,21
P6,image,guide,folP_1,0.0,0.0,0.0,21
P6,image,guide,folP_2,0.0,0.0,0.0,21
P6,image,guide,folP_3,0.0,0.0,0.0,21
P6,image,guide,ftsI_1,0.08333333333333333,0.047619047619047616,0.06060606060606061,21
P6,image,guide,ftsI_2,0.0,0.0,0.0,21
P6,image,guide,ftsI_3,0.5,0.09523809523809523,0.16,21
P6,image,guide,ftsZ_1,0.7727272727272727,0.8095238095238095,0.7906976744186046,21
P6,image,guide,ftsZ_2,0.8,0.38095238095238093,0.5161290322580645,21
P6,image,guide,ftsZ_3,0.5161290322580645,0.7619047619047619,0.6153846153846154,21
P6,image,guide,gyrA_1,0.1,0.09523809523809523,0.0975609756097561,21
P6,image,guide,gyrA_2,0.0,0.0,0.0,21
P6,image,guide,gyrA_3,0.045454545454545456,0.19047619047619047,0.07339449541284404,21
P6,image,guide,gyrB_1,0.0,0.0,0.0,21
P6,image,guide,gyrB_2,0.0,0.0,0.0,21
P6,image,guide,gyrB_3,0.0,0.0,0.0,21
P6,image,guide,lptA_1,0.0,0.0,0.0,21
P6,image,guide,lptA_2,0.5,0.3333333333333333,0.4,21
P6,image,guide,lptA_3,0.0,0.0,0.0,21
P6,image,guide,lptC_1,0.15384615384615385,0.2857142857142857,0.2,21
P6,image,guide,lptC_2,0.36363636363636365,0.19047619047619047,0.25,21
P6,image,guide,lptC_3,0.17391304347826086,0.38095238095238093,0.23880597014925373,21
P6,image,guide,lpxA_1,0.0,0.0,0.0,21
P6,image,guide,lpxA_2,0.0,0.0,0.0,21
P6,image,guide,lpxA_3,0.0,0.0,0.0,21
P6,image,guide,lpxC_1,0.14814814814814814,0.19047619047619047,0.16666666666666666,21
P6,image,guide,lpxC_2,0.875,0.6666666666666666,0.7567567567567568,21
P6,image,guide,lpxC_3,0.23636363636363636,0.6190476190476191,0.34210526315789475,21
P6,image,guide,mrcA_1,0.4,0.09523809523809523,0.15384615384615385,21
P6,image,guide,mrcA_2,0.051094890510948905,0.3333333333333333,0.08860759493670886,21
P6,image,guide,mrcA_3,0.5,0.47619047619047616,0.4878048780487805,21
P6,image,guide,mrcB_1,0.027777777777777776,0.09523809523809523,0.043010752688172046,21
P6,image,guide,mrcB_2,0.0,0.0,0.0,21
P6,image,guide,mrcB_3,0.0,0.0,0.0,21
P6,image,guide,mrdA_1,0.59375,0.9047619047619048,0.7169811320754716,21
P6,image,guide,mrdA_2,0.8,0.38095238095238093,0.5161290322580645,21
P6,image,guide,mrdA_3,0.9473684210526315,0.8571428571428571,0.9,21
P6,image,guide,msbA_1,0.0,0.0,0.0,21
P6,image,guide,msbA_2,0.0,0.0,0.0,21
P6,image,guide,msbA_3,0.0,0.0,0.0,21
P6,image,guide,murA_1,0.2727272727272727,0.14285714285714285,0.1875,21
